model,fold,fit_n,val_n,val_macro_f1,val_accuracy,test_macro_f1,test_accuracy,test_recall_defect,test_recall_longberry,test_recall_peaberry,test_recall_premium,n_flagged_mislabel
05_convnext_tiny,0,697,232,0.9827888599947814,0.9827586206896551,0.9478057095025344,0.948051948051948,0.8813559322033898,0.9824561403508771,0.9827586206896551,0.9473684210526315,
08_multitask,0,697,232,0.9828262290998675,0.9827586206896551,0.9304993252361673,0.9307359307359307,0.864406779661017,0.9649122807017544,0.9655172413793104,0.9298245614035088,
09_noise_robust,0,697,232,0.9827514176031126,0.9827586206896551,0.9439596488345344,0.9437229437229437,0.9152542372881356,0.9649122807017544,0.9655172413793104,0.9298245614035088,33.0
05_convnext_tiny,1,697,232,0.9828263412541517,0.9827586206896551,0.9566126863039068,0.9567099567099567,0.9322033898305084,0.9824561403508771,0.9827586206896551,0.9298245614035088,
08_multitask,1,697,232,0.9827534939042522,0.9827586206896551,0.9171882471707136,0.9177489177489178,0.8135593220338984,0.9824561403508771,0.9655172413793104,0.9122807017543859,
09_noise_robust,1,697,232,0.9956893348197696,0.9956896551724138,0.9523949889462049,0.9523809523809523,0.8983050847457628,1.0,0.9827586206896551,0.9298245614035088,28.0
05_convnext_tiny,2,695,234,0.9613757613401381,0.9615384615384616,0.9132622350014574,0.9134199134199135,0.9322033898305084,0.9298245614035088,0.9655172413793104,0.8245614035087719,
08_multitask,2,695,234,0.9829053584898121,0.9829059829059829,0.9389509814420521,0.9393939393939394,0.864406779661017,1.0,0.9827586206896551,0.9122807017543859,
09_noise_robust,2,695,234,0.9871747619425638,0.9871794871794872,0.9610886189833558,0.961038961038961,0.9322033898305084,1.0,0.9827586206896551,0.9298245614035088,40.0
05_convnext_tiny,3,698,231,0.9913764254557483,0.9913419913419913,0.9438411462126877,0.9437229437229437,0.9322033898305084,0.9298245614035088,0.9827586206896551,0.9298245614035088,
08_multitask,3,698,231,0.9957264957264957,0.9956709956709957,0.9521249132638129,0.9523809523809523,0.9491525423728814,1.0,0.9482758620689655,0.9122807017543859,
09_noise_robust,3,698,231,0.9913389441963781,0.9913419913419913,0.9305235967080645,0.9307359307359307,0.9322033898305084,0.9824561403508771,0.9655172413793104,0.8421052631578947,44.0
