model,val_macro_f1,test_macro_f1,test_accuracy,test_recall_defect,test_recall_longberry,test_recall_peaberry,test_recall_premium,type_val_f1,damage_val_f1,n_flagged_mislabel,ensemble_of,beats_baseline
09_noise_robust,0.9827887970302831,0.9609718399252837,0.961038961038961,0.9491525423728814,1.0,0.9655172413793104,0.9298245614035088,,,33.0,,True
05_convnext_tiny,0.9612019906776941,0.9479327463832757,0.948051948051948,0.9152542372881356,0.9473684210526315,0.9827586206896551,0.9473684210526315,,,,,True
08_multitask,0.982755735800576,0.9396861445610302,0.9393939393939394,0.8983050847457628,0.9649122807017544,0.9655172413793104,0.9298245614035088,,,,,True
06_deit_tiny,0.961133142398283,0.934508881922675,0.935064935064935,0.9491525423728814,0.9649122807017544,0.9655172413793104,0.8596491228070176,,,,,True
07_hierarchical,0.9785816912972085,0.9268050835322165,0.9264069264069265,0.8983050847457628,0.9649122807017544,0.9482758620689655,0.8947368421052632,0.9942011446436224,0.9775193798449613,,,True
04_resnet18,0.9784286852169627,0.9260799260799261,0.9264069264069265,0.8983050847457628,0.9824561403508771,0.9482758620689655,0.8771929824561403,,,,,True
02_mobilenet_v3_large,0.9569894136426396,0.9174419810253317,0.9177489177489178,0.8813559322033898,0.9824561403508771,0.9655172413793104,0.8421052631578947,,,,,True
03_efficientnet_b0,0.9698035168254604,0.9140902809140834,0.9134199134199135,0.8813559322033898,0.8947368421052632,0.9310344827586207,0.9473684210526315,,,,,True
10_ensemble,,0.890732700612838,0.8917748917748918,0.7966101694915254,0.9824561403508771,0.9310344827586207,0.8596491228070176,,,,01_gradient_boosting + 04_resnet18,True
01_gradient_boosting,0.7077692072435554,0.7441721486489836,0.7445887445887446,0.7288135593220338,0.8245614035087719,0.7241379310344828,0.7017543859649122,,,,,True
