model,test_confidence_mean,real_world_confidence_mean,real_world_class_distribution,test_class_distribution
02_mobilenet_v3_large,0.9771432876586914,0.8932018280029297,"{'defect': 0.175, 'longberry': 0.33, 'peaberry': 0.26, 'premium': 0.235}","{'defect': 0.2554112554112554, 'longberry': 0.24675324675324675, 'peaberry': 0.2510822510822511, 'premium': 0.24675324675324675}"
03_efficientnet_b0,0.9355524182319641,0.8177119493484497,"{'defect': 0.2, 'longberry': 0.255, 'peaberry': 0.325, 'premium': 0.22}","{'defect': 0.2554112554112554, 'longberry': 0.24675324675324675, 'peaberry': 0.2510822510822511, 'premium': 0.24675324675324675}"
04_resnet18,0.9706708788871765,0.8827717304229736,"{'defect': 0.155, 'longberry': 0.43, 'peaberry': 0.23, 'premium': 0.185}","{'defect': 0.2554112554112554, 'longberry': 0.24675324675324675, 'peaberry': 0.2510822510822511, 'premium': 0.24675324675324675}"
05_convnext_tiny,0.9797534346580505,0.9384773969650269,"{'defect': 0.185, 'longberry': 0.32, 'peaberry': 0.295, 'premium': 0.2}","{'defect': 0.2554112554112554, 'longberry': 0.24675324675324675, 'peaberry': 0.2510822510822511, 'premium': 0.24675324675324675}"
09_noise_robust,0.8765525817871094,0.7544496059417725,"{'defect': 0.185, 'longberry': 0.34, 'peaberry': 0.205, 'premium': 0.27}","{'defect': 0.2554112554112554, 'longberry': 0.24675324675324675, 'peaberry': 0.2510822510822511, 'premium': 0.24675324675324675}"
06_deit_tiny,0.9594816565513611,0.8819961547851562,"{'defect': 0.17, 'longberry': 0.39, 'peaberry': 0.27, 'premium': 0.17}","{'defect': 0.2554112554112554, 'longberry': 0.24675324675324675, 'peaberry': 0.2510822510822511, 'premium': 0.24675324675324675}"
01_gradient_boosting,0.8826992987302402,0.8561527842288202,"{'defect': 0.25, 'longberry': 0.32, 'peaberry': 0.355, 'premium': 0.075}","{'defect': 0.2554112554112554, 'longberry': 0.24675324675324675, 'peaberry': 0.2510822510822511, 'premium': 0.24675324675324675}"
07_hierarchical,0.9348059796099097,0.833715247427331,"{'defect': 0.1, 'longberry': 0.455, 'peaberry': 0.25, 'premium': 0.195}","{'defect': 0.2554112554112554, 'longberry': 0.24675324675324675, 'peaberry': 0.2510822510822511, 'premium': 0.24675324675324675}"
08_multitask,0.9638505425943028,0.8913278441992688,"{'defect': 0.185, 'longberry': 0.28, 'peaberry': 0.285, 'premium': 0.25}","{'defect': 0.2554112554112554, 'longberry': 0.24675324675324675, 'peaberry': 0.2510822510822511, 'premium': 0.24675324675324675}"
10_ensemble,0.8519913987457064,0.7596121217602281,"{'defect': 0.185, 'longberry': 0.4, 'peaberry': 0.28, 'premium': 0.135}","{'defect': 0.2554112554112554, 'longberry': 0.24675324675324675, 'peaberry': 0.2510822510822511, 'premium': 0.24675324675324675}"
