model,spatial_method,centroid_vs_center_offset_r,centroid_vs_center_offset_p,probe_reposition_mean_delta,probe_occlusion_center_mean_delta,probe_color_jitter_mean_delta,nn_lineage_label_agreement_mean,head_agreement_heatmap_corr,gb_resnet_agreement_rate,resnet_correct_but_gb_disagrees_rate,tcav_off_center_score,tcav_off_center_p,tcav_elongated_shape_score,tcav_elongated_shape_p,tcav_dark_color_score,tcav_dark_color_p,tcav_large_area_score,tcav_large_area_p,shap_rank_off_center,shap_rank_elongated_shape,shap_rank_dark_color,shap_rank_large_area
02_mobilenet_v3_large,GradCAM,0.028095114818435348,0.6709998159465445,0.0669551780700605,0.24365058564177808,0.2720594649894558,0.9307359307359307,,,,1.0,0.5248219254277453,0.0,0.3810462305385865,1.0,0.31014908554275805,0.0,0.373900966300059,,,,
03_efficientnet_b0,GradCAM,0.07608732823549123,0.24939324264351143,0.0914247144110404,0.37189654551559326,0.321455382536371,0.9290043290043289,,,,1.0,0.373900966300059,0.0,0.541469739275585,1.0,0.541469739275585,0.0,0.541469739275585,,,,
04_resnet18,GradCAM,-0.017869557178845953,0.787051016854487,0.08284075820044458,0.4435837325967346,0.255798104373548,0.9489177489177488,,,,1.0,0.541469739275585,0.0,0.373900966300059,1.0,0.541469739275585,0.0,0.7040000000000001,,,,
05_convnext_tiny,GradCAM,0.05636707067965895,0.3938056803096304,0.024336197490736365,0.16292565457877659,0.11577476638560012,0.9471861471861471,,,,0.07017543859649122,0.5501628464796477,0.0,0.23909426657475688,0.7457627118644068,0.4081850038373493,0.06896551724137931,0.501454615581371,,,,
09_noise_robust,GradCAM,0.01346956325254224,0.8386517782139085,0.09043114332409648,0.5532945288724197,0.20939331459792662,0.9333333333333333,,,,1.0,0.7040000000000001,0.0,0.373900966300059,1.0,0.373900966300059,0.0,0.541469739275585,,,,
06_deit_tiny,IG+Occlusion (bukan Grad-CAM -- tidak ada conv feature map),,,0.08946872322751588,0.2922098173465564,0.1817323033981634,0.9073593073593074,,,,0.0,0.2674876825917655,0.9473684210526315,0.500627354827667,0.11864406779661017,0.24262982441084677,1.0,0.42592917533613744,,,,
01_gradient_boosting,"SHAP (bukan Grad-CAM -- input berupa fitur tangan, bukan piksel)",,,0.3130921360310895,0.313040639320466,0.21792702202809844,0.41038961038961036,,,,,,,,,,,,"{'defect': 7, 'longberry': 6, 'peaberry': 10, 'premium': 4}","{'defect': 6, 'longberry': 2, 'peaberry': 5, 'premium': 3}","{'defect': 9, 'longberry': 10, 'peaberry': 11, 'premium': 6}","{'defect': 5, 'longberry': 3, 'peaberry': 1, 'premium': 2}"
07_hierarchical,GradCAM per sub-model (tipe & rusak terpisah),,,0.09495060829280054,0.5862708557377228,0.18378998119078585,,0.3764530551350809,,,1.0,0.541469739275585,0.0,0.541469739275585,0.0,0.541469739275585,0.0,0.373900966300059,,,,
08_multitask,"GradCAM per head (wrapper, 1 backbone dibagi)",,,0.07403260592597827,0.6408390969485,0.1799558205576784,,0.8402418325302842,,,1.0,0.541469739275585,1.0,0.541469739275585,0.0,0.541469739275585,0.0,0.541469739275585,,,,
10_ensemble,Gabungan SHAP (01) + GradCAM (04_resnet18) berdampingan,,,,,,,,0.7402597402597403,0.2374429223744292,,,,,,,,,,,,
